abandon,give up or over,yield,surrender,leave,cede,let go,deliver ,turn over,relinquish,depart from,leave,desert,quit,go away from
abbreviate,shorten,compress,contract,truncate,trim,reduce,curtail,shorten,cut,condense,abridge,abstract,digest,epitomize,summarize,US synopsize
abdicate,give up,renounce,disclaim,waive,disown,surrender,yield,relinquish,abandon,resign,quit
abduct,kidnap,carry off,make away or off with,seize,Slang US snatch,grab
abet,encourage,urge,instigate,incite,provoke,egg on,prod,goad, aid,help,assist,countenance,approve ,support,endorse,second,sanction,condone, further,advance,promote,uphold
abhor,hate,loathe,detest,abominate,execrate, regard or view with horror or dread or fright or repugnance or loathing or disgust,shudder at,recoil or shrink from, be or stand aghast at
abide,stand,endure,suffer,submit to,bear,put up with,accept,tolerate,brook
abolish,eliminate,end,put an end to,terminate,destroy,annihilate,annul,void,make void,demolish,do away with,nullify,repeal,cancel,obliterate,liquidate,destroy,stamp out,quash,extinguish,erase,delete,expunge, eradicate,extirpate,deracinate,uproot
abound,prevail,thrive,flourish,abound in. be crowded or packed or jammed with,be abundant or rich in,proliferate 
abridge,shorten,reduce,condense,cut,abbreviate,cut back,trim,curtail,pare down,contract,compress,digest,summarize,epitomize,abstract,US synopsize
abuse,misuse,misemploy,pervert,misapply,exploit,maltreat,ill-use,injure,wrong,hurt,mistreat,manhandle,ill-treat, damage
accept,receive,take,allow,permit,accede ,agree ,assent ,consent ,acknowledge,admit,allow,recognize
accommodate,fit,suit,adapt,adjust,modify, customize,harmonize,make consistent,reconcile,adapt
accomplish,fulfil,perform,achieve,carry out,execute,carry off,do,complete,carry through,finish,effect,bring to an end,conclude,wind up,end, attain,reach,gain, Colloq bring off,knock off,polish off,Slang pull off,US swing,hack,cut
accord,agree,harmonize,concur,be at one,correspond,agree,be in harmony,be consistent,go ,coincide,conform,agreement,unanimity,concord,reconciliation,harmony,mutual understanding,conformity,accordance,rapport,concert
account,account for. explain,give a reason for,give or render a reckoning for,answer for,justify,reckon for,calculation,accounting,reckoning,computation, statement, enumeration
accumulate,collect,gather,amass,mass,pile or heap up,aggregate,cumulate, assemble,store,stock,hoard,stockpile,put or lay away
accuse,accuse . blame,censure,hold responsible ,charge ,denounce ,point the finger ,cite,call to account,accuse . charge,indict,impeach,arraign,incriminate, attribute,impute
accustom,familiarize,acquaint,habituate,train,season, acclimatize or acclimate
ache,pain,hurt,smart,throb,pound, sting,yearn,long,hunger,hanker,pine, crave
achieve,accomplish,carry out,execute,succeed in,complete,fulfil,bring off or about, realize,effect,accomplish,attain,reach,gain,get,acquire,win,obtain
acknowledge,admit,confess,allow,concede,own,recognize,accept,accede,acquiesce, own up to,answer,reply to,respond to,react to
acquire,get,obtain,gain,win,earn,procure,secure,come by or into, receive,come into possession of, buy,purchase
activate,move,actuate,set in motion,get started,energize,get or set going,start,initiate,switch or turn on,trigger, motivate,rouse,arouse,prompt,stimulate,stir,mobilize,animate,impel,galvanize,Colloq US light a fire under
adapt,suit,fit,make suitable,qualify,alter,modify,change,remodel,tailor,reshape,shape,fashion, adjust,accommodate,accustom,acclimatize or acclimate,habituate
add,join,unite,combine,annex
adjust,set right,arrange,settle,harmonize,reconcile,resolve,set or put to rights, arbitrate,mediate, redress,rectify,correct,patch up,change,alter,modify,regulate,set
administer,administrate,manage,control,run,direct,conduct,superintend,supervise,oversee,execute,carry on,carry out, apply,implement
admire,wonder or marvel ,delight in,esteem,regard or respect highly,look up to,revere,idolize,venerate,worship
admit,let in,allow to enter,take or allow in, accept,receive,allow,permit,grant,brook,tolerate
adopt,take ,accept,take or accept as one's own,take,take up or on or over,embrace,espouse, arrogate,appropriate
adore,esteem,honour,respect,admire, idolize,dote on,worship,venerate,reverence,revere,exalt, hallow
adulterate,falsify,corrupt,alloy,debase,water ,weaken,dilute,bastardize,contaminate,pollute,taint,Colloq doctor, Slang US cut
advance,move or put or push or go forward, approach,further,promote,forward,help,aid,abet,assist,benefit,improve, contribute to
advise,counsel,guide,recommend,suggest,commend, caution,admonish,warn, urge,encourage,tell,announce ,inform,apprise,register,make known ,intimate ,notify
advocate,support,champion,back,endorse,uphold,recommend,stand behind,second,favour,speak or plead or argue for or in favour of
afflict,affect,bother,distress,oppress,trouble,torment
afford,have the means,be able or rich enough,manage,bear the expense,pay,provide,give,spare,give up,contribute,donate, sacrifice
aggravate,worsen,intensify,exacerbate,heighten,magnify,increase, inflame,exasperate,frustrate, anger,incense,infuriate, provoke,irritate,nettle,rile,vex,annoy,harass,hector,bother, embitter,rankle,Colloq peeve,needle,get on one's nerves, Slang Brit give  aggro
agitate,excite,arouse,rouse,move,perturb,stir up,disquiet,fluster,ruffle,rattle,disconcert,discomfit,unsettle,upset,rock,unnerve,shake ,Colloq discombobulate,push,press,campaign, promote
agree,concur,conform,come or go together,coincide,correspond,harmonize,reconcile, accord,tally,Colloq jibe
aid,help,support,assist,facilitate,back,abet,uphold,promote, succour,relieve,subsidize,help,support,assistance,backing,relief,benefit,service,succour,comfort
ail,trouble,afflict,affect,bother,distress,upset,worry,make ill or sick,pain,hurt,suffer,be or feel ill or poorly or unwell or indisposed,US be sick
aim,direct,point,focus,train,level,aim at. focus on,have designs on,aspire to,plan for or on,set one's sights on,seek,strive for,try for,wish,want
alienate,Usually,alienate from. disabuse ,wean away ,detach ,distance 
allege,declare,aver,state,assert,charge,affirm,avow,asseverate,depose,say
allot,distribute,apportion,allocate,earmark,assign,parcel or dole out,deal ,divide,share ,dispense
allow,acknowledge,admit,grant,concede,own,agree to,concede,cede to,admit,permit,authorize,entertain,consent to
alter,change,revise,modify,vary,transform, adjust,adapt,convert,remodel
alternate,rotate,exchange,change,interchange,take turns,go or take,etc. in turn,US change off,interexchange,succeed,be in succession or rotation
amalgamate,blend,combine,unite,mix,join,consolidate,compound,integrate,merge
amass,accumulate,mass,pile or heap or rack up,collect,gather ,assemble,aggregate,cumulate,stock or store up,hoard,set aside
amaze,astound,astonish,surprise,awe,stun,stagger,take aback,floor,dumbfound or dumfound,confound,nonplus,stupefy,Colloq flabbergast,dazzle
amend,reform,change for the better,improve,better,ameliorate,correct,emend,emendate,rectify,set to rights,repair,fix,revise
